sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
135_ITS	ITS	135	7.3.12	F1	SA	Fast	7	3	12	0.5840625	86.4	F1_F2	G5	G	5	39	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.12	0	1	0	normal	0				VAL12505804-G05	33.023
136_ITS	ITS	136	8.6.3	F1	SA	Fast	8	6	3	0.8440625	78	F1_F2	H5	H	5	40	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.75	0	0	0	normal	0			PPH 1st batch	VAL12505804-H05	29.976
137_ITS	ITS	137	9.6.13	F1	SA	Fast	9	6	13	0.3040625	106	F1_F2	A6	A	6	41	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505804-A06	28.852
138_ITS	ITS	138	10.4.4	F1	SA	Fast	10	4	4	0.8140625	191.4	F1_F2	B6	B	6	42	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505804-B06	24.6
139_ITS	ITS	139	11.2.6	F1	SA	Fast	11	2	6	0.4040625	106.8	F1_F2	C6	C	6	43	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.939	0	0	0	normal	0				VAL12505804-C06	25.86
140_ITS	ITS	140	12.2.9	F1	SA	Fast	12	2	9	0.6440625	106.4	F1_F2	D6	D	6	44	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.86	0	0	0	normal	0				VAL12505804-D06	25.39
141_ITS	ITS	141	13.3.2	F1	SA	Fast	13	3	2	0.3240625	62.5	F1_F2	E6	E	6	45	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.835	0	0	0	normal	0				VAL12505804-E06	26.474
142_ITS	ITS	142	14.4.14	F1	SA	Fast	14	4	14	0.5640625	80.3	F1_F2	F6	F	6	46	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 17-21_June	VAL12505804-F06	26.523
143_ITS	ITS	143	15.5.8	F1	SA	Fast	15	5	8	0.8340625	116.6	F1_F2	G6	G	6	47	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.83	0	0	0	normal	0				VAL12505804-G06	28.05
144_ITS	ITS	144	16.4.1	F1	SA	Fast	16	4	1	0.7240625	90.9	F1_F2	H6	H	6	48	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.804	0	0	0	normal	0				VAL12505804-H06	34.101
