sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
259_16S	16S	259	3.1.6	F2	MeJA	Fast	3	1	6	2.98	66	F1_F2	B9	B	9	66	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.743	0	0	0	normal	0	Root with nodules			VAL12505774-B09	27.4
260_16S	16S	260	4.3.1	F2	MeJA	Fast	4	3	1	3.2	96.7	F1_F2	C9	C	9	67	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.603	0	0	0	normal	0	Root with nodules			VAL12505774-C09	27.1
261_16S	16S	261	5.2.14	F2	MeJA	Fast	5	2	14	4.82	60.9	F1_F2	D9	D	9	68	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.59	0	0	0	normal	0	Root with nodules			VAL12505774-D09	26.3
263_16S	16S	263	7.4.10	F2	MeJA	Fast	7	4	10	4.45	62.9	F1_F2	E9	E	9	69	rhizoplane	2.12	7_8	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules			VAL12505774-E09	31.8
265_16S	16S	265	9.4.12	F2	MeJA	Fast	9	4	12	3.8	58.5	F1_F2	F9	F	9	70	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-F09	27.5
266_16S	16S	266	10.2.9	F2	MeJA	Fast	10	2	9	6.25	58	F1_F2	G9	G	9	71	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.106	0	0	0	normal	0	Root with nodules			VAL12505774-G09	25.9
267_16S	16S	267	11.3.8	F2	MeJA	Fast	11	3	8	5.09	46.5	F1_F2	H9	H	9	72	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.61	0	0	0	normal	0	Root with nodules Senescence lower leaves			VAL12505774-H09	24.6
268_16S	16S	268	12.4.4	F2	MeJA	Fast	12	4	4	3.1	56.7	F1_F2	A10	A	10	73	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.499	0	0	0	normal	0	Root with nodules			VAL12505774-A10	26
269_16S	16S	269	13.6.3	F2	MeJA	Fast	13	6	3	4.05	89.5	F1_F2	B10	B	10	74	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.596	0	0	0	normal	0	Root with nodules			VAL12505774-B10	28.7
270_16S	16S	270	14.5.13	F2	MeJA	Fast	14	5	13	6.18	61	F1_F2	C10	C	10	75	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 17-21_June	VAL12505774-C10	25.9
271_16S	16S	271	15.6.11	F2	MeJA	Fast	15	6	11	4.01	64.7	F1_F2	D10	D	10	76	rhizoplane	2.1	15_16	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-D10	26.9
273_16S	16S	273	1.1.1	F2	SA	Fast	1	1	1	5.79	69.9	F1_F2	E10	E	10	77	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.103	0	0	0	normal	0	Root with nodules			VAL12505774-E10	29.3
274_16S	16S	274	2.2.15	F2	SA	Fast	2	2	15	3.14	57.4	F1_F2	F10	F	10	78	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.637	0	0	0	normal	0	Root with nodules			VAL12505774-F10	25.6
275_16S	16S	275	3.3.2	F2	SA	Fast	3	3	2	3.98	62.4	F1_F2	G10	G	10	79	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.846	0	0	0	normal	0	Root with nodules			VAL12505774-G10	26.8
276_16S	16S	276	4.3.11	F2	SA	Fast	4	3	11	3.86	55.5	F1_F2	H10	H	10	80	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.002	0	0	0	normal	0	Root with nodules			VAL12505774-H10	25.2
277_16S	16S	277	5.1.10	F2	SA	Fast	5	1	10	2.78	58.1	F1_F2	A11	A	11	81	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	0	0.651	0	0	0	normal	0				VAL12505774-A11	25.6
278_16S	16S	278	6.2.4	F2	SA	Fast	6	2	4	5.33	79.6	F1_F2	B11	B	11	82	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.988	0	0	0	normal	0	Root with nodules			VAL12505774-B11	26.3
279_16S	16S	279	7.6.5	F2	SA	Fast	7	6	5	2.91	89.1	F1_F2	C11	C	11	83	rhizoplane	2.12	7_8	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		Agros 6-10_Sept	VAL12505774-C11	27.5
281_16S	16S	281	9.4.7	F2	SA	Fast	9	4	7	3.54	108.4	F1_F2	D11	D	11	84	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-D11	26.4
282_16S	16S	282	10.5.14	F2	SA	Fast	10	5	14	3.11	57.2	F1_F2	E11	E	11	85	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.09	0	0	0	normal	0	Root with nodules			VAL12505774-E11	31
283_16S	16S	283	11.1.3	F2	SA	Fast	11	1	3	8.13	61.3	F1_F2	F11	F	11	86	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.057	0	0	0	normal	0	Root with nodules			VAL12505774-F11	26.6
